id,name,birthday,party_name1,memo,election_name,district,type_name,position_name,party_name2
201309000034,이미경,19500920,민주당,"제18대 국회의원, 제17대 국회의원, 제16대 국회의원, 제15대 국회의원",제19대 국회의원 선거,서울특별시 은평구 갑,국회의원,서울특별시 은평구 갑 국회의원,민주통합당,,
201309000035,이상규,19650107,통합진보당,,제19대 국회의원 선거,서울특별시 관악구 을,국회의원,서울특별시 관악구 을 국회의원,통합진보당,,
201309000036,이인영,19640628,민주당,제17대 국회의원,제19대 국회의원 선거,서울특별시 구로구 갑,국회의원,서울특별시 구로구 갑 국회의원,민주통합당,,
201309000037,이재오,19450111,새누리당,"제18대 국회의원, 제17대 국회의원, 제16대 국회의원, 제15대 국회의원",제19대 국회의원 선거,서울특별시 은평구 을,국회의원,서울특별시 은평구 을 국회의원,새누리당,,
201309000038,인재근,19531111,민주당,,제19대 국회의원 선거,서울특별시 도봉구 갑,국회의원,서울특별시 도봉구 갑 국회의원,민주통합당,,
201309000039,전병헌,19580317,민주당,"제17대 국회의원, 제18대 국회의원",제19대 국회의원 선거,서울특별시 동작구 갑,국회의원,서울특별시 동작구 갑 국회의원,민주통합당,,
201309000040,정두언,19570306,새누리당,"제17대 국회의원, 제18대 국회의원",제19대 국회의원 선거,서울특별시 서대문구 을,국회의원,서울특별시 서대문구 을 국회의원,새누리당,,
201309000041,정몽준,19511017,새누리당,"제18대 국회의원, 제17대 국회의원, 제16대 국회의원, 제15대 국회의원, 제14대 국회의원, 제13대 국회의원",제19대 국회의원 선거,서울특별시 동작구 을,국회의원,서울특별시 동작구 을 국회의원,새누리당,,
201309000042,정세균,19500926,민주당,"제18대 국회의원, 제17대 국회의원, 제16대 국회의원, 제15대 국회의원",제19대 국회의원 선거,서울특별시 종로구,국회의원,서울특별시 종로구 국회의원,민주통합당,,
201309000043,정청래,19650418,민주당,제17대 국회의원,제19대 국회의원 선거,서울특별시 마포구 을,국회의원,서울특별시 마포구 을 국회의원,민주통합당,,
201309000044,정호준,19710219,민주당,,제19대 국회의원 선거,서울특별시 중구,국회의원,서울특별시 중구 국회의원,민주통합당,,
201309000045,진영,19501023,새누리당,"제17대 국회의원, 제18대 국회의원",제19대 국회의원 선거,서울특별시 용산구,국회의원,서울특별시 용산구 국회의원,새누리당,,
201309000046,최재천,19631119,민주당,제17대 국회의원,제19대 국회의원 선거,서울특별시 성동구 갑,국회의원,서울특별시 성동구 갑 국회의원,민주통합당,,
201309000047,추미애,19581023,민주당,"제18대 국회의원, 제16대 국회의원, 제15대 국회의원",제19대 국회의원 선거,서울특별시 광진구 을,국회의원,서울특별시 광진구 을 국회의원,민주통합당,,
201309000048,홍익표,19671120,민주당,,제19대 국회의원 선거,서울특별시 성동구 을,국회의원,서울특별시 성동구 을 국회의원,민주통합당,,
201309000049,박근혜,19520202,새누리당,"제18대 국회의원, 제17대 국회의원, 제16대 국회의원, 제15대 국회의원, 제19대 국회의원",제 18대 대통령 선거,대한민국,대통령,제 18대 대통령,새누리당,,
201309000050,강운태,19481115,민주당,,제 5회 전국동시지방 선거,광주광역시,시·도지사,광주광역시장,민주당,,
201309000051,김관용,19421129,새누리당,"제3대 경상북도 구미시 시장, 제2대 경상북도 구미시 시장, 제1대 경상북도 구미시 시장",제 5회 전국동시지방 선거,경상북도,시·도지사,경상북도지사,새누리당,,
201309000052,김문수,19510827,새누리당,"제17대 국회의원, 제16대 국회의원, 제15대 국회의원",제 5회 전국동시지방 선거,경기도,시·도지사,경기도지사,새누리당,,
201309000053,김범일,19501021,새누리당,,제 5회 전국동시지방 선거,대구광역시,시·도지사,대구광역시장,새누리당,,
201309000054,김완주,19460525,민주당,제32대 전라북도 도지사,제 5회 전국동시지방 선거,전라북도,시·도지사,전라북도지사,민주당,,
201309000055,박맹우,19511206,새누리당,"제4대 울산광역시 시장, 제3대 울산광역시 시장",제 5회 전국동시지방 선거,울산광역시,시·도지사,울산광역시장,새누리당,,
201309000056,박원순,19560326,민주당,,제 5회 전국동시지방 선거,서울특별시,시·도지사,서울특별시장,무소속,,
201309000057,박준영,19461021,민주당,,제 5회 전국동시지방 선거,전라남도,시·도지사,전라남도지사,민주당,,
201309000058,송영길,19630321,민주당,"제18대 국회의원, 제17대 국회의원, 제16대 국회의원",제 5회 전국동시지방 선거,인천광역시,시·도지사,인천광역시장,민주당,,
201309000059,안희정,19650501,민주당,,제 5회 전국동시지방 선거,충청남도,시·도지사,충청남도지사,민주당,,
201309000060,염홍철,19440906,새누리당,제15대 국회의원,제 5회 전국동시지방 선거,대전광역시,시·도지사,대전광역시장,자유선진당,,
201309000061,우근민,19421104,무소속,"제33대 제주특별자치도 도지사, 제32대 제주특별자치도 도지사",제 5회 전국동시지방 선거,제주특별자치도,시·도지사,제주특별자치도지사,무소속,,
201309000062,유한식,19490620,새누리당,"제36대 연기군수, 제35대 연기군수",제 5회 전국동시지방 선거,세종특별자치시,시·도지사,세종특별자치시장,자유선진당,,
