670,경상남도,거창군
676,경상남도,함양군
678,경상남도,합천군
680,울산광역시,남구
681,울산광역시,중구
682,울산광역시,동구
683,울산광역시,북구
689,울산광역시,울주군
690,제주특별자치도,제주시
695,제주특별자치도,제주시
697,제주특별자치도,서귀포시
699,제주특별자치도,서귀포시
700,대구광역시,중구
701,대구광역시,동구
702,대구광역시,북구
703,대구광역시,서구
704,대구광역시,달서구
705,대구광역시,남구
706,대구광역시,수성구
711,대구광역시,달성군
712,경상북도,경산시
714,경상북도,청도군
716,경상북도,군위군
717,경상북도,고령군
718,경상북도,칠곡군
719,경상북도,성주군
730,경상북도,구미시
740,경상북도,김천시
742,경상북도,상주시
745,경상북도,문경시
750,경상북도,영주시
755,경상북도,봉화군
757,경상북도,예천군
760,경상북도,안동시
763,경상북도,청송군
764,경상북도,영양군
766,경상북도,영덕군
767,경상북도,울진군
769,경상북도,의성군
770,경상북도,영천시
780,경상북도,경주시
790,경상북도,포항시 남구
791,경상북도,포항시 북구
799,경상북도,울릉군
